Coercivity,Crystal_Structure,Curie,Curie(Tc),Curie_Weiss,Curie_Weiss(θp),DOI,Experimental,Lattice_Parameters,Lattice_Structure,Magnetic_Moment,Magnetization,Material_Name,Neel,Neel(Tn),New_Column_Concatenated,Remanence,Space_Group,Susceptibility
,Rhombohedral (R3m) below TS,26,26 K,,,10.1016/j.physb.2006.01.461,FALSE,,,,,GaMo4S8,,,S8.0Ga1Mo4.0,,R3m (below TS),
,Rhombohedral (R3m) below TS,13,13 K,,,10.1016/j.physb.2006.01.461,TRUE,,,,,GaV4S8,,,S8.0V4.0Ga1,,R3m (below TS),
50 Oe,Trigonal niccolite-type,27,27 K,-39.7 K,-39.7,10.1016/j.jssc.2017.12.017,TRUE,"{'a': '8.2624 Å', 'c': '14.5411 Å'}",Trigonal,8.21 μB,1.35 μB,C8H14FeMnNO13,,,H14.0C8.0N1O13.0Mn1Fe1,0.0008 μB,P3̄1c,
70 Oe,Trigonal niccolite-type,43,43 K,-46.6 K,-46.6,10.1016/j.jssc.2017.12.017,TRUE,"{'a': '8.2557 Å', 'c': '13.8179 Å'}",Trigonal,5.82 μB,0.81 μB,C8H14FeNiNO13,,,H14.0C8.0N1O13.0Fe1Ni1,0.056 μB,P3̄1c,
150 Oe,Trigonal niccolite-type,11,11 K,-6.4 K,-6.4,10.1016/j.jssc.2017.12.017,TRUE,"{'a': '8.2789 Å', 'c': '13.9306 Å'}",Trigonal,6.41 μB,3.30 μB,C8H14CrCoNO13,,,H14.0C8.0N1O13.0Cr1Co1,0.50 μB,P3̄1c,
1.7 mT,Inverse Spinel,598.15,325 °C,,,10.1016/j.jallcom.2016.06.287,TRUE,{'a': '8.36250 Å'},Cubic,,51.07 A m2/kg,Hf0.06Fe2.94O4,,,O4.0Fe2.94Hf0.06,0.98 A m2/kg,Fd3m,
,Inverse Spinel,598.15,325 °C,,,10.1016/j.jallcom.2016.06.287,TRUE,{'a': '8.37017 Å'},Cubic,,,Hf0.4Fe2.6O4,,,O4.0Fe2.6Hf0.4,,Fd3m,
,Inverse Spinel,598.15,325 °C,,,10.1016/j.jallcom.2016.06.287,TRUE,{'a': '8.38031 Å'},Cubic,,,Hf0.6Fe2.4O4,,,O4.0Fe2.4Hf0.6,,Fd3m,
,Inverse Spinel,598.15,325 °C,,,10.1016/j.jallcom.2016.06.287,TRUE,{'a': '8.37859 Å'},Cubic,,,Hf0.8Fe2.2O4,,,O4.0Fe2.2Hf0.8,,Fd3m,
,Hexagonal MgZn2-type,170,170 K,,,10.1016/j.physb.2015.04.019,TRUE,"{'a': '4.9275 Å', 'c': '8.0607 Å'}",Hexagonal,,,Hf0.8Ta0.2Fe1.98,,,Fe1.98Hf0.8Ta0.2,,P63/mmc,
,Hexagonal MgZn2-type,140,140 K,,,10.1016/j.physb.2015.04.019,TRUE,"{'a': '4.9265 Å', 'c': '8.0597 Å'}",Hexagonal,,,Hf0.8Ta0.2Fe1.96Co0.02,,,Fe1.96Co0.02Hf0.8Ta0.2,,P63/mmc,
,Hexagonal MgZn2-type,140,140 K,,,10.1016/j.physb.2015.04.019,TRUE,"{'a': '4.9248 Å', 'c': '8.0581 Å'}",Hexagonal,,,Hf0.8Ta0.2Fe1.94Co0.04,,,Fe1.94Co0.04Hf0.8Ta0.2,,P63/mmc,
,C14-type Laves phase,110,110 K,,,10.1016/j.physb.2006.06.141,TRUE,"{'a': '4.925 Å', 'c': '8.056 Å'}",Hexagonal,,,Hf0.8Ta0.2Fe2,350,350 K,Fe2.0Hf0.8Ta0.2,,,
,Cubic,560,560 K,,,10.1016/j.physb.2023.415641,FALSE,{'a': '6.951 Å'},C15,2.26 μB/fu,,HfMn2,,,Mn2.0Hf1,,Fd-3m,
,Cubic,630,630 K,,,10.1016/j.physb.2023.415641,TRUE,{'a': '6.920 Å'},C15,3.46 μB/fu,,HfFe2,,,Fe2.0Hf1,,Fd-3m,
,Orthorhombic,,,99 K,99,10.1016/j.jallcom.2021.158617,TRUE,,,0.63 μB/f.u.,,TiFeSi,,,Si1Ti1Fe1,,Ima2,
,,,,,,10.1016/j.jallcom.2021.158617,TRUE,,,,,ZrFeSi,165,"250 K, 80 K",Si1Fe1Zr1,,,
,,,,,,10.1016/j.jallcom.2021.158617,TRUE,,,,,HfFeSi,120,"180 K, 60 K",Si1Fe1Hf1,,,
,Amorphous,32.6,32.6 K,43.8 K,43.8,10.1016/j.jnoncrysol.2024.122846,TRUE,,,8.91 μB/f.u.,,Ho0.2Tm0.2Gd0.2Co0.2Al0.2,,,Al0.2Co0.2Gd0.2Ho0.2Tm0.2,,,
,Amorphous,64,64 K,,,10.1016/j.jnoncrysol.2024.122846,FALSE,,,,,Tb65Ni35,,,Ni35.0Tb65.0,,,
,Amorphous,4.5,4.5 K,,,10.1016/j.jnoncrysol.2024.122846,FALSE,,,,,Tm67Cu33)80Al20,,,Al20.0Cu33.0Tm67.0,,,
,Tetragonal,,,,,10.1016/j.physb.2009.07.127,TRUE,"{'a': '4.219 Å', 'c': '10.99 Å'}",,,,Ho2CoGa8,5.1,5.1 K,Co1Ga8.0Ho2.0,,P4/mmm No. 123,
,Tetragonal,,,,,10.1016/S0921-4526(99)01806-2,TRUE,,,,,Tb2Pd2In,33,33 K,Pd2.0In1Tb2.0,,P4/mbm (No. 127),
,Tetragonal,,,,,10.1016/S0921-4526(99)01806-2,TRUE,,,,,Ho2Pd2In,8.5,8.5 K,Pd2.0In1Ho2.0,,P4/mbm (No. 127),
,Cubic,,,1.86 K,1.86,10.1016/j.jcrysgro.2014.03.019,TRUE,{'a': '1.00915 nm'},Face-centered cubic,10.4 μB,,Ho2Ti2O7,,,O7.0Ti2.0Ho2.0,,Fd-3m,
,Monoclinic,,,-43.5 K,-43.5,10.1016/j.physb.2009.04.016,TRUE,,,3.6 μB,,Nd2WO6,,,O6.0Nd2.0W1,,,-4.57×10^-6 cm^3/g
,Monoclinic,,,-5.7 K,-5.7,10.1016/j.physb.2009.04.016,TRUE,,,8.0 μB,,Gd2WO6,,,O6.0Gd2.0W1,,,2.7×10^-3 cm^3/g
,Monoclinic,,,-5.2 K,-5.2,10.1016/j.physb.2009.04.016,TRUE,,,10.6 μB,,Dy2WO6,,,O6.0Dy2.0W1,,,1.759×10^-5 cm^3/g
,Monoclinic,,,-2.7 K,-2.7,10.1016/j.physb.2009.04.016,TRUE,,,10.4 μB,,Ho2WO6,,,O6.0Ho2.0W1,,,2.334×10^-5 cm^3/g
,Cubic,515,515 K,,,10.1016/S0925-8388(00)01368-2,TRUE,,Th6Mn23,,13.2 μB/fu,Ho6Fe23,,,Fe23.0Ho6.0,,Fm3m,
,Cubic,515,515 K,,,10.1016/S0925-8388(00)01368-2,TRUE,,Th6Mn23,,9.5 μB/fu,Ho5.53Y0.47Fe23,,,Fe23.0Y0.47Ho5.53,,Fm3m,
,Cubic,513,513 K,,,10.1016/S0925-8388(00)01368-2,TRUE,,Th6Mn23,,7.9 μB/fu,Ho5.08Y0.92Fe23,,,Fe23.0Y0.92Ho5.08,,Fm3m,
,Cubic,508,508 K,,,10.1016/S0925-8388(00)01368-2,TRUE,,Th6Mn23,,6.2 μB/fu,Ho4.14Y1.86Fe23,,,Fe23.0Y1.86Ho4.14,,Fm3m,
,Cubic,495,495 K,,,10.1016/S0925-8388(00)01368-2,TRUE,,Th6Mn23,,32.1 μB/fu,Ho1.15Y4.85Fe23,,,Fe23.0Y4.85Ho1.15,,Fm3m,
,Cubic,496,496 K,,,10.1016/S0925-8388(00)01368-2,TRUE,,Th6Mn23,,42.5 μB/fu,Y6Fe23,,,Fe23.0Y6.0,,Fm3m,
,Fe2P-type,204.11,204.11 K,,,10.1016/j.jallcom.2019.153198,TRUE,"{'a': '0.81822 nm', 'c': '0.42609 nm'}",Hexagonal,,,Ho6MnBi2,,,Mn1Ho6.0Bi2.0,,P6̅2m,
,Fe2P-type,70.32,70.32 K,,,10.1016/j.jallcom.2019.153198,TRUE,"{'a': '0.82220 nm', 'c': '0.41816 nm'}",Hexagonal,,,Ho6FeBi2,,,Fe1Ho6.0Bi2.0,,P6̅2m,
,Hexagonal,56,56 K,32.6 K,32.6,10.1016/j.physb.2023.415471,TRUE,"{'a': '8.1045 Å', 'b': '8.1045 Å', 'c': '4.1469 Å'}",Fe2P type,13.65 μB/f.u.,,Ho6FeSb2,,,Fe1Sb2.0Ho6.0,,P6̅2m,
,Amorphous,211,211 K,,,10.1016/j.jallcom.2013.09.059,TRUE,,,,,Y8Co62B30,,,B30.0Co62.0Y8.0,,,
,Amorphous,214,214 K,,,10.1016/j.jallcom.2013.09.059,TRUE,,,,,Ho8Co62B30,,,B30.0Co62.0Ho8.0,,,
,Amorphous,224,224 K,,,10.1016/j.jallcom.2013.09.059,TRUE,,,,,Tb8Co62B30,,,B30.0Co62.0Tb8.0,,,
,Tetragonal,,,,,10.1016/S0921-4526(02)01665-4,TRUE,,,,,HoB2C2,5.9,5.9 K,B2.0C2.0Ho1,,,
28.9 T at 4.2 K,Layered Perovskite,300,300 K,,,10.1016/j.physb.2004.01.059,TRUE,,,,,HoBaCo2O5.5,280,280 K,O5.5Co2.0Ba1Ho1,,,
23.9 T at 4.2 K,Layered Perovskite,280,280 K,,,10.1016/j.physb.2004.01.059,TRUE,,,,,GdBaCo2O5.5,255,255 K,O5.5Co2.0Ba1Gd1,,,
,Tetragonal,984,984 K,,,10.1016/j.physb.2013.05.036,TRUE,,ThMn12,,,HoFe2Co9Ti,,,Ti1Fe2.0Co9.0Ho1,,I4/mmm,
,Tetragonal,987,987 K,,,10.1016/j.physb.2013.05.036,TRUE,,ThMn12,,,HoCo11Ti,,,Ti1Co11.0Ho1,,I4/mmm,
,Cubic,88,88 K,,,10.1016/j.jallcom.2020.158063,TRUE,{'a': '7.1445 Å'},Fd-3m,8.10 μB/f.u.,160 emu/g,HoCo2,,,Co2.0Ho1,,Fd-3m,
,Cubic,149,149 K,,,10.1016/j.jallcom.2020.158063,TRUE,{'a': '7.1411 Å'},Fd-3m,7.73 μB/f.u.,,HoCo2Mn0.2,,,Mn0.2Co2.0Ho1,,Fd-3m,
,Cubic,225,225 K,,,10.1016/j.jallcom.2020.158063,TRUE,{'a': '7.1517 Å'},Fd-3m,7.05 μB/f.u.,,HoCo2Mn0.5,,,Mn0.5Co2.0Ho1,,Fd-3m,
,Cubic,251,251 K,,,10.1016/j.jallcom.2020.158063,TRUE,{'a': '7.1435 Å'},Fd-3m,6.10 μB/f.u.,,HoCo2Mn0.7,,,Mn0.7Co2.0Ho1,,Fd-3m,
,Cubic,253,253 K,,,10.1016/j.jallcom.2020.158063,TRUE,{'a': '7.1353 Å'},Fd-3m,6.17 μB/f.u.,,HoCo2Mn1.0,,,Mn1.0Co2.0Ho1,,Fd-3m,
,Hexagonal,10,10 K,,,10.1016/j.physb.2005.01.271,TRUE,"{'a': '5.01417 Å', 'c': '3.02607 Å'}",,"5.08 μB (Ho), 0.11 μB (Co)",,HoCo3B2,,,B2.0Co3.0Ho1,,P6/mmm,
,,,,,,10.1016/j.physb.2005.01.271,TRUE,,,,,TbCo3B2,30,30 K,B2.0Co3.0Tb1,,,
,Amorphous,16,16 K,22 K,22,10.1016/j.jnoncrysol.2020.120570,TRUE,,,8.58 μB,41 Am^2/kg,HoErCo,,,Co1Ho1Er1,,,
,,22.8,22.8 K,,,10.1016/j.jnoncrysol.2020.120570,FALSE,,,,,Ho57Cu25Al18,,,Al18.0Cu25.0Ho57.0,,,
,,13.3,13.3 K,,,10.1016/j.jnoncrysol.2020.120570,FALSE,,,,,Er60Cu20Al20,,,Al20.0Cu20.0Er60.0,,,
,,23,23 K,,,10.1016/j.jnoncrysol.2020.120570,TRUE,,,,,HoPdIn,,,Pd1In1Ho1,,,
,,11.5,11.5 K,,,10.1016/j.jnoncrysol.2020.120570,TRUE,,,,,Er60Ni30Co10,,,Co10.0Ni30.0Er60.0,,,
,,11.5,11.5 K,,,10.1016/j.jnoncrysol.2020.120570,FALSE,,,,,Er60Co20Ni20,,,Co20.0Ni20.0Er60.0,,,
,,17,17 K,,,10.1016/j.jnoncrysol.2020.120570,FALSE,,,,,Ho36Dy20Al24Co20,,,Al24.0Co20.0Dy20.0Ho36.0,,,
,,26,26 K,,,10.1016/j.jnoncrysol.2020.120570,FALSE,,,,,Dy50Gd7Al24Co20,,,Al24.0Co20.0Gd7.0Dy50.0,,,
,,89,89 K,,,10.1016/j.jnoncrysol.2020.120570,FALSE,,,,,DyHoCo,,,Co1Dy1Ho1,,,
,Amorphous,41,41 K,,,10.1016/j.jallcom.2019.04.039,TRUE,,,,,HoErGdCuNi,,,Ni1Cu1Gd1Ho1Er1,,,
,Orthorhombic,230,230 K,,,10.1016/j.jssc.2021.122200,TRUE,"{'a': '5.4313 Å', 'b': '5.4732 Å', 'c': '7.7616 Å'}",Pbnm,,,NdFe0.5Cr0.5O3,,,O3.0Cr0.5Fe0.5Nd1,,Pbnm (#62),
,Orthorhombic,175,175 K,,,10.1016/j.jssc.2021.122200,TRUE,"{'a': '5.2495 Å', 'b': '5.5292 Å', 'c': '7.5497 Å'}",Pbnm,,,HoFe0.5Cr0.5O3,,,O3.0Cr0.5Fe0.5Ho1,,Pbnm (#62),
,Tetragonal,518,518 K,,,10.1016/S0925-8388(97)00290-9,TRUE,"{'a': '8.4687 Å', 'b': '8.4687 Å', 'c': '4.4759 Å'}",ThMn12-type,,,HoFe11Ti,,,Ti1Fe11.0Ho1,,I4/mmm,
1.6 T,Tetragonal,216,216 K,,,10.1016/j.jallcom.2017.10.041,TRUE,,ThMn12-type,2 μB/f.u.,,HoFe5Al7,,,Al7.0Fe5.0Ho1,,,
1.31 T,Tetragonal,67,67 K,,,10.1016/j.jallcom.2017.10.041,TRUE,,ThMn12-type,2.8 μB/f.u.,,HoFe4CoAl7,,,Al7.0Fe4.0Co1Ho1,,,
1.16 T,Tetragonal,67,67 K,,,10.1016/j.jallcom.2017.10.041,TRUE,,ThMn12-type,3.8 μB/f.u.,,HoFe3Co2Al7,,,Al7.0Fe3.0Co2.0Ho1,,,
,Tetragonal,315,315 K,,,10.1016/j.jallcom.2017.02.213,TRUE,,ThMn12-type,,,HoFe6Al6,,,Al6.0Fe6.0Ho1,,,
,Cubic Laves phase (C15-type),,,27 K,27,10.1016/S0925-8388(00)01430-4,TRUE,,,7.9 μB per Ho atom,"6.8 μB/f.u. (spontaneous), 7 μB/f.u. (saturation)",HoMn2,31,31 K,Mn2.0Ho1,100 emu/g,,
,Hexagonal,11.8,11.8 K,5.9 K,5.9,10.1016/j.physb.2014.09.030,TRUE,"{'a': '0.6890 nm', 'c': '0.3826 nm'}",ZrNiAl-type,10.8 μB/Ho3+,,HoNi0.9Cu0.1Al,5.7,5.7 K,Al1Ni0.9Cu0.1Ho1,,P 6̄ 2m (No. 189),
,C15 cubic,31.1,31.1 K,33.3 K,33.3,10.1016/j.jallcom.2021.161295,TRUE,{'a': '7.177 Å'},Cubic,7.7 μB/f.u.,,Tb0.75Ho0.25Ni2,,,Ni2.0Tb0.75Ho0.25,,Fd-3m,
,C15-based superstructure,25.6,25.6 K,24.9 K,24.9,10.1016/j.jallcom.2021.161295,TRUE,{'a': '14.339 Å'},Cubic,8.1 μB/f.u.,,Tb0.5Ho0.5Ni2,,,Ni2.0Tb0.5Ho0.5,,F-43m,
,C15-based superstructure,18.6,18.6 K,19.2 K,19.2,10.1016/j.jallcom.2021.161295,TRUE,{'a': '14.319 Å'},Cubic,8.5 μB/f.u.,,Tb0.25Ho0.75Ni2,,,Ni2.0Tb0.25Ho0.75,,F-43m,
,C15 cubic,37.1,37.1 K,37.6 K,37.6,10.1016/j.jallcom.2021.161295,TRUE,{'a': '7.175 Å'},Cubic,9.1 μB/f.u.,,TbNi2,,,Ni2.0Tb1,,Fd-3m,
,C15 cubic,13.5,13.5 K,10.6 K,10.6,10.1016/j.jallcom.2021.161295,TRUE,{'a': '7.142 Å'},Cubic,9.3 μB/f.u.,,HoNi2,,,Ni2.0Ho1,,Fd-3m,
,Orthorhombic,,,"{'Parallel': '8.9 K', 'Perpendicular': '-6.5 K'}",7.7,10.1016/j.actamat.2020.04.031,TRUE,"{'a': '8.828 Å', 'b': '4.149 Å', 'c': '7.168 Å'}",TiNiSi-type,7.07 μB,,HoNiSi,3.8,3.8 K,Si1Ni1Ho1,,Pnma,
,ThCr2Si2-type,,,,,10.1016/S0925-8388(00)00703-9,TRUE,"{'a': '4.1220(6) Å', 'c': '9.6753(25) Å'}",Tetragonal,11.3(1) μB,,TbOs2Si2,45,45 K,Si2.0Tb1Os2.0,,I4/mmm,
,ThCr2Si2-type,,,,,10.1016/S0925-8388(00)00703-9,TRUE,"{'a': '4.1251(6) Å', 'c': '9.6566(27) Å'}",Tetragonal,"10.55(15) μB (k1), 4.59(16) μB (k2)",,HoOs2Si2,15.8,15.8 K,Si2.0Ho1Os2.0,,I4/mmm,
,,,,,,10.1016/S0925-8388(00)00703-9,TRUE,,,,,DyAg2Si2,4.3,4.3 K,Si2.0Ag2.0Dy1,,,
,Orthorhombic,,,,,10.1016/S0925-8388(99)00201-7,TRUE,"{'a': '4.321 Å', 'b': '16.344 Å', 'c': '8.731 Å'}",,"8.1 μB (4i site), 4.0 μB (4h site)",,HoPtGe2,8.5,8.5 K,Ge2.0Ho1Pt1,,Immm,
,,,,,,10.1016/S0925-8388(99)00201-7,TRUE,,,"8.5 μB (8 K), 9.9 μB (4 K)",,DyPtGe2,9.5,"14 K, 5 K",Ge2.0Dy1Pt1,,,
,MgAgAs-type,,,-8.9 K,-8.9,10.1016/j.jallcom.2020.154467,TRUE,{'a': '6.5089'},Cubic,10.67 μB,,HoPtSb,,,Sb1Ho1Pt1,,F-43m,
,Tetragonal zircon,,,,,10.1016/S0921-4526(01)01244-3,TRUE,,,8.52 μB,,HoVO4,0.0045,4.5 mK,O4.0V1Ho1,,I41/amd (No. 141),
,,,,,,10.1016/S0921-4526(01)01394-1,TRUE,,,,,In0.9Al0.1As,65,50-80K,Al0.1As1In0.9,,,
,,,,,,10.1016/S0921-4526(01)01394-1,TRUE,,,,,InAs,65,50-80K,As1In1,,,
,Clathrate-I,3.8,3.8 K,,,10.1016/j.physb.2006.03.066,TRUE,{'a': '10.7441 Å'},Cubic,,,K6Eu2Ga10Ge36,,,K6.0Ga10.0Ge36.0Eu2.0,,Pm-3n,
,Clathrate-I,4,4.0 K,,,10.1016/j.physb.2006.03.066,TRUE,{'a': '10.7442 Å'},Cubic,,,K6Eu2Zn5Ge41,,,K6.0Zn5.0Ge41.0Eu2.0,,Pm-3n,
,Clathrate-I,9.3,9.3 K,,,10.1016/j.physb.2006.03.066,TRUE,{'a': '10.8349 Å'},Cubic,,,K6Eu2Cd5Ge41,,,K6.0Ge41.0Cd5.0Eu2.0,,Pm-3n,
634 Oe,Monoclinic,770,770 K,,,10.1016/j.jallcom.2021.161294,TRUE,"{'a': '7.8992 Å', 'b': '5.9736 Å', 'c': '5.7252 Å'}",,,0.4616 emu/g,KBiFe1.9Co0.1O5,545,545 K,O5.0K1Fe1.9Co0.1Bi1,0.1787 emu/g,P2/c,1.77 × 10^-5 emu/g Oe
608 Oe,Monoclinic,770,770 K,,,10.1016/j.jallcom.2021.161294,TRUE,"{'a': '7.8986 Å', 'b': '5.9754 Å', 'c': '5.7299 Å'}",,,0.1898 emu/g,KBiFe1.8Co0.2O5,545,545 K,O5.0K1Fe1.8Co0.2Bi1,0.0678 emu/g,P2/c,1.27 × 10^-5 emu/g Oe
426 Oe,Monoclinic,770,770 K,,,10.1016/j.jallcom.2021.161294,TRUE,"{'a': '7.9238 Å', 'b': '5.9813 Å', 'c': '5.7362 Å'}",,,0.1099 emu/g,KBiFe1.7Co0.3O5,545,545 K,O5.0K1Fe1.7Co0.3Bi1,0.0150 emu/g,P2/c,1.49 × 10^-5 emu/g Oe
,Tetragonal,78,78 K,,,10.1016/j.physb.2011.10.046,FALSE,"{'a': '3.864 Å', 'c': '13.698 Å'}",ThCr2Si2-type,2.59 μB per formula unit,,KCo2Se2,,,K1Co2.0Se2.0,,I4/mmm (#139),
,Tetragonal Tungsten Bronze,,,-80 K,-80,10.1016/j.jssc.2010.05.030,TRUE,"{'a': '12.593 Å', 'c': '7.962 Å'}",Tetragonal,,,KZnTiF6,,,F6.0K1Ti1Zn1,,P4/mbm,0.292 cm³ K/mol
,Tetragonal Tungsten Bronze,,,-65 K,-65,10.1016/j.jssc.2010.05.030,TRUE,"{'a': '12.548 Å', 'c': '7.850 Å'}",Tetragonal,,,KZnVF6,,,F6.0K1V1Zn1,,P4/mbm,0.955 cm³ K/mol
,Tetragonal Tungsten Bronze,,,-34 K,-34,10.1016/j.jssc.2010.05.030,TRUE,"{'a': '12.882 Å', 'c': '8.035 Å'}",Tetragonal,,,KVScF6,,,F6.0K1Sc1V1,,P4/mbm,1.86 cm³ K/mol
,Tetragonal Tungsten Bronze,,,-18 K,-18,10.1016/j.jssc.2010.05.030,TRUE,"{'a': '13.053 Å', 'c': '7.954 Å'}",Tetragonal,,,KCrScF6,,,F6.0K1Sc1Cr1,,P4/mbm,3.25 cm³ K/mol
,Tetragonal Tungsten Bronze,,,-44 K,-44,10.1016/j.jssc.2010.05.030,TRUE,"{'a': '12.996 Å', 'c': '8.111 Å'}",Tetragonal,,,KMnScF6,,,F6.0K1Sc1Mn1,,P4/mbm,4.37 cm³ K/mol
,Triclinic,,,,,10.1016/j.physb.2004.01.020,TRUE,,,,,KCu5V3O13,7,7 K,O13.0K1V3.0Cu5.0,,P1,
,Perovskite,,,,,10.1016/j.physb.2006.01.253,TRUE,,Orthorhombic,,,KCuF3,39,39 K,F3.0K1Cu1,,I4/mcm,
"250 G at 5 K, 170 G at 10 K",Triclinic,29.3,29.3 K,41.5 K,41.5,10.1016/j.jssc.2007.08.011,TRUE,"{'a': '7.662 Å', 'b': '8.402 Å', 'c': '10.100 Å'}",,5.55 μB per Fe3+,,KFeAs2O7,,,O7.0K1Fe1As2.0,"34.9 emu/mol at 5 K, 24.0 emu/mol at 10 K",P -1,
,Monoclinic,,,,,10.1016/j.jssc.2018.01.003,TRUE,,C 2/c,,,KFeS2,245,245 K,S2.0K1Fe1,,,
,Perovskite,,,,,10.1016/j.jallcom.2020.155935,TRUE,"{'a': '5.90193(6) Å (10 K), 5.89907(2) Å (140 K), 4.18538(1) Å (235 K)', 'b': '5.88848(6) Å (10 K), a (140 K), a (235 K)', 'c': '8.34826(9) Å (10 K), 8.38022(5) Å (140 K), a (235 K)'}","Tetragonal, Orthorhombic",4.8(2) μB (10 K),,KMnF3,81.9,"86.8 K, 77 K",F3.0K1Mn1,,"Pnma (10 K), I4/mcm (140 K), Pm3̄m (235 K)",
7671 Oe,fct,753.15,480 °C,,,10.1016/j.jallcom.2022.164748,TRUE,"{'a': '0.3849 nm', 'c': '0.3700 nm'}",,,434 emu·cc^−1,Fe47.5Pt47.5Cu5.0,,,Fe47.5Cu5.0Pt47.5,,,
,Orthorhombic,354.25,81.1 °C,,,10.1016/j.jallcom.2018.05.127,TRUE,,,,40.6 emu/g,La0.67Ca0.33MnO3,,,O3.0Ca0.33Mn1La0.67,,,
,Spinel,605.15,332 °C,,,10.1016/j.jallcom.2019.152504,TRUE,{'a': '8.4046 Å'},Cubic,,,Ni0.52Zn0.4Cu0.1Fe1.98O4,,,O4.0Fe1.98Ni0.52Cu0.1Zn0.4,,,
,Cubic NaZn13-type,190,190 K,,,10.1016/j.actamat.2021.117334,TRUE,,,,,LaFe13.92Si1.4,,,Si1.4Fe13.92La1,,,
,,202,202 K,,,10.1016/j.actamat.2021.117334,TRUE,,,,,LaFe11.4Si1.6,,,Si1.6Fe11.4La1,,,
,,210,210 K,,,10.1016/j.actamat.2021.117334,TRUE,,,,,LaFe11.57Si1.43,,,Si1.43Fe11.57La1,,,
,,202,202 K,,,10.1016/j.actamat.2021.117334,TRUE,,,,,LaFe11.6Si1.4,,,Si1.4Fe11.6La1,,,
,,173.5,173.5 K,,,10.1016/j.actamat.2021.117334,FALSE,,,,,La1.7Fe11.6Si1.4,,,Si1.4Fe11.6La1.7,,,
,,,,,,10.1016/S0921-4526(99)00025-3,TRUE,,,0.4 μB/Mn-atom,,MnSi,29,29 K,Si1Mn1,,,
,ThCr2Si2-type,125,125 K,,,10.1016/j.physb.2017.02.016,TRUE,{'c': '11.213 Å'},,,,LaCo2P2,,,P2.0Co2.0La1,,,
,ThCr2Si2-type,,,,,10.1016/j.physb.2017.02.016,TRUE,{'c': '9.491 Å'},,,,CeCo2P2,440,440 K,P2.0Co2.0Ce1,,,
,,121,121 K,,,10.1016/S0921-4526(02)02564-4,TRUE,,,,,La0.2Pr0.5Ca0.3MnO3,,,O3.0Ca0.3Mn1La0.2Pr0.5,,,
,,245,245 K,,,10.1016/S0921-4526(02)02564-4,TRUE,,,,,La0.7Ca0.3MnO3,,,O3.0Ca0.3Mn1La0.7,,,
,Hexagonal,,,,,10.1016/j.jssc.2011.06.021,TRUE,"{'a': '2.837', 'c': '10.855'}",P6_3/mmc,,,Na0.75CoO2,22,22 K,O2.0Na0.75Co1,,P6_3/mmc,
,Cubic,245,245 K,,,10.1016/j.tsf.2022.139438,TRUE,"{'a': '3.825 Å', 'b': '3.825 Å'}",Tetragonal (due to strain),1.90 μB/Co,,La0.3Sr0.7CoO3,,,O3.0Co1Sr0.7La0.3,,,
,Orthorhombic,230,230K,,,10.1016/j.jallcom.2006.06.095,TRUE,"{'a': '5.4184 Å', 'b': '7.6418 Å', 'c': '5.4281 Å'}",Perovskite,,,La0.5Ca0.5MnO3,150,150K,O3.0Ca0.5Mn1La0.5,,Pnma,
,Orthorhombic,170,170K,,,10.1016/j.jallcom.2006.06.095,TRUE,"{'a': '5.4228 Å', 'b': '7.6431 Å', 'c': '5.4337 Å'}",Perovskite,2.75 μB/mol,,La0.5Ca0.45□0.05MnO3,,,O3.0Ca0.45Mn1La0.5,,Pnma,
,Orthorhombic,,,,,10.1016/j.jallcom.2006.06.095,TRUE,"{'a': '5.413 Å', 'b': '7.634 Å', 'c': '5.422 Å'}",Perovskite,,,La0.45□0.05Ca0.5MnO3,100,100K,O3.0Ca0.5Mn1La0.45,,Pnma,
,,164.5,164.5 K,,,10.1016/j.jssc.2013.02.019,TRUE,,,,,La0.4Ca0.6MnO2.8,,,O2.8Ca0.6Mn1La0.4,,,
513.3 Oe,Orthorhombic,250,250 K,,,10.1016/j.jallcom.2011.09.027,TRUE,"{'a': '5.403 Å', 'b': '7.613 Å', 'c': '5.412 Å'}",Pnma,2.33 μB/f.u.,,La0.4Ca0.6MnO3,,,O3.0Ca0.6Mn1La0.4,,Pnma,
,,270,270 K,,,10.1016/j.jallcom.2011.09.027,TRUE,,,,,La0.7Ca0.3MnO3,,,O3.0Ca0.3Mn1La0.7,,,
,,252,252 K,,,10.1016/j.jallcom.2011.09.027,TRUE,,,,,La0.67Ca0.33Mn0.9V0.1O3,,,O3.0Ca0.33V0.1Mn0.9La0.67,,,
,,215,215 K,,,10.1016/j.jallcom.2011.09.027,FALSE,,,,,La0.35Pr0.275Ca0.375MnO3,,,O3.0Ca0.375Mn1La0.35Pr0.275,,,
,,287.25,287.25 K,,,10.1016/j.jallcom.2011.09.027,TRUE,,,,,Gd,,,Gd1,,,
,Orthorhombic,260,260 K,,,10.1016/j.physb.2016.03.031,TRUE,"{'a': '5.470 Å', 'b': '5.486 Å', 'c': '7.728 Å'}",Pbnm,,,La0.7Ca0.3MnO3,,,O3.0Ca0.3Mn1La0.7,,Pbnm,
